complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Urgent' because description contains 'ambulance'.,
GH-202402,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Standard'.,
GH-202406,Drain Blockage,Standard,"Complaint categorized as 'Drain Blockage' due to keyword(s) 'drain', 'blocked'; priority set to 'Standard'.",
GH-202407,Drain Blockage,Standard,"Complaint categorized as 'Drain Blockage' due to keyword(s) 'drain', 'blocked'; priority set to 'Standard'.",
GH-202410,Pothole,Standard,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Standard'.,
GH-202411,Pothole,Urgent,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Urgent' because description contains 'hospital'.,
GH-202412,Pothole,Urgent,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Urgent' because description contains 'school'.,
GH-202417,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'overflow'; priority set to 'Standard'.,
GH-202420,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
GH-202422,Pothole,Urgent,Complaint categorized as 'Pothole' due to keyword(s) 'crater'; priority set to 'Urgent' because description contains 'collapse'.,
GH-202424,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Standard'.,
GH-202428,Waste,Standard,Complaint categorized as 'Waste' due to keyword(s) 'waste'; priority set to 'Standard'.,
GH-202432,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
GH-202448,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Standard'.,
GH-202438,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
