complaint_id,category,priority,reason,flag
KM-202401,Streetlight,Standard,Complaint categorized as 'Streetlight' due to keyword(s) 'lamp'; priority set to 'Standard'.,
KM-202402,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
KM-202405,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
KM-202409,Pothole,Standard,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Standard'.,
KM-202410,Pothole,Standard,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Standard'.,
KM-202411,Pothole,Standard,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Standard'.,
KM-202415,Drain Blockage,Standard,Complaint categorized as 'Drain Blockage' due to keyword(s) 'drain'; priority set to 'Standard'.,
KM-202418,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'overflow'; priority set to 'Standard'.,
KM-202421,Other,Urgent,"Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Urgent' because description contains 'hospital', 'fell'.",NEEDS_REVIEW
KM-202422,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
KM-202426,Heritage Damage,Standard,Complaint categorized as 'Heritage Damage' due to keyword(s) 'heritage'; priority set to 'Standard'.,
KM-202430,Drain Blockage,Standard,Complaint categorized as 'Drain Blockage' due to keyword(s) 'pipe'; priority set to 'Standard'.,
KM-202434,Heritage Damage,Standard,Complaint categorized as 'Heritage Damage' due to keyword(s) 'heritage'; priority set to 'Standard'.,
KM-202436,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,Complaint categorized as 'Heritage Damage' due to keyword(s) 'heritage'; priority set to 'Standard'.,
