complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Standard'.,
PM-202402,Pothole,Urgent,"Complaint categorized as 'Pothole' due to keyword(s) 'pothole'; priority set to 'Urgent' because description contains 'school', 'child'.",
PM-202406,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Standard'.,
PM-202408,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Standard'.,
PM-202410,Streetlight,Standard,Complaint categorized as 'Streetlight' due to keyword(s) 'streetlight'; priority set to 'Standard'.,
PM-202411,Streetlight,Urgent,Complaint categorized as 'Streetlight' due to keyword(s) 'streetlight'; priority set to 'Urgent' because description contains 'hazard'.,
PM-202413,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'overflow'; priority set to 'Standard'.,
PM-202418,Noise,Standard,Complaint categorized as 'Noise' due to keyword(s) 'music'; priority set to 'Standard'.,
PM-202419,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
PM-202420,Other,Urgent,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Urgent' because description contains 'injury'.,NEEDS_REVIEW
PM-202427,Flooding,Standard,Complaint categorized as 'Flooding' due to keyword(s) 'flood'; priority set to 'Standard'.,
PM-202428,Other,Standard,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Standard'.,NEEDS_REVIEW
PM-202430,Heritage Damage,Standard,Complaint categorized as 'Heritage Damage' due to keyword(s) 'heritage'; priority set to 'Standard'.,
PM-202433,Waste,Standard,"Complaint categorized as 'Waste' due to keyword(s) 'waste', 'dump'; priority set to 'Standard'.",
PM-202446,Other,Urgent,Complaint categorized as 'Other' (no specific keyword matched); priority set to 'Urgent' because description contains 'fell'.,NEEDS_REVIEW
